"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","5662633560","81722640","530270","2903","129172","127021","1833","69.29","League of Legends"
"Counter-Strike: Global Offensive","2","Counter-Strike: Global Offensive","2869971780","49806300","372654","2197","120849","64378","1117","57.62","Counter-Strike: Global Offensive"
"Dota 2","3","Dota 2","2711153580","26003820","315083","1100","44074","60815","583","104.26","Dota 2"
"Hearthstone","4","Hearthstone","2396169540","14154180","131357","517","36170","53749","317","169.29","Hearthstone"
"Call of Duty: Black Ops III","5","Call of Duty: Black Ops III","969183420","69094680","71639","3620","214054","21740","1549","14.03","Call of Duty: Black Ops III"
"Minecraft","6","Minecraft","613863360","29400120","64432","1538","88820","13769","659","20.88","Minecraft"
"World of Warcraft","7","World of Warcraft","526287120","20578680","46130","1180","33375","11805","461","25.57","World of Warcraft"
"Z1 Battle Royale","8","Z1 Battle Royale","473674260","12334140","41588","460","21396","10625","276","38.4","Z1 Battle Royale"
"Talk Shows & Podcasts","9","Talk Shows & Podcasts","461302140","3194100","84051","148","10779","10347","71","144.42","Talk Shows & Podcasts"
"FIFA 16","10","FIFA 16","419308500","12218760","145728","756","46462","9405","274","34.32","FIFA 16"
"StarCraft II","11","StarCraft II","394027560","4425180","60355","178","7133","8838","99","89.04","StarCraft II"
"Diablo III: Reaper of Souls","12","Diablo III: Reaper of Souls","374140080","13109400","57383","2185","25458","8392","294","28.54","Diablo III: Reaper of Souls"
"Destiny","13","Destiny","353554380","33096900","18783","1741","60340","7930","742","10.68","Destiny"
"Blade and Soul","14","Blade and Soul","316215060","11056740","67256","1099","22637","7093","248","28.6","Blade and Soul"
"World of Tanks","15","World of Tanks","299617620","7701360","39358","368","16121","6720","172","38.9","World of Tanks"
"Tom Clancy's Rainbow Six: Siege","16","Tom Clancy's Rainbow Six: Siege","291962340","14528040","25742","694","42244","6549","325","20.1","Tom Clancy's Rainbow Six: Siege"
"RuneScape","17","RuneScape","277971420","4477680","18809","167","7628","6235","100","62.08","RuneScape"
"Tom Clancy's The Division","18","Tom Clancy's The Division","269756100","3707940","148710","2008","28361","6051","83","72.75","Tom Clancy's The Division"
"Grand Theft Auto V","19","Grand Theft Auto V","240857760","24430320","32724","1197","85441","5402","548","9.86","Grand Theft Auto V"
"Smite","20","Smite","227322060","6842460","70542","296","15389","5099","153","33.22","Smite"
"Creative","21","Creative","190872420","7186560","69027","310","15551","4281","161","26.56","Creative"
