,,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,
League of Legends,1,League of Legends,4672302780,60254280,296196,2089,105041,104807,1351,77.54,League of Legends
Counter-Strike: Global Offensive,2,Counter-Strike: Global Offensive,3177197820,35768460,726674,1441,94538,71269,802,88.83,Counter-Strike: Global Offensive
Dota 2,3,Dota 2,1950589740,16664340,200212,807,29653,43754,373,117.05,Dota 2
Hearthstone,4,Hearthstone,1899363060,9875280,148537,372,24532,42605,221,192.34,Hearthstone
Overwatch,5,Overwatch,1495718760,48838320,82786,2220,126978,33551,1095,30.63,Overwatch
Call of Duty: Black Ops III,6,Call of Duty: Black Ops III,706669020,59827800,77658,4122,188845,15851,1342,11.81,Call of Duty: Black Ops III
Dead by Daylight,7,Dead by Daylight,610854840,8196960,64718,323,14656,13702,183,74.52,Dead by Daylight
World of Warcraft,8,World of Warcraft,597433800,18294480,73797,870,32835,13401,410,32.66,World of Warcraft
Minecraft,9,Minecraft,454653000,26659080,47731,1056,90671,10198,598,17.05,Minecraft
Pokémon Go,10,Pokémon Go,449704800,3062220,81781,199,8607,10087,68,146.86,Pokémon Go
Talk Shows & Podcasts,11,Talk Shows & Podcasts,394234860,3181680,83725,142,12923,8843,71,123.91,Talk Shows & Podcasts
Destiny,12,Destiny,345314940,32691720,82354,1443,62686,7745,733,10.56,Destiny
RuneScape,13,RuneScape,338496360,4410420,24483,169,7837,7593,98,76.75,RuneScape
NBA 2K16,14,NBA 2K16,317155560,18334260,31078,792,59255,7114,411,17.3,NBA 2K16
Street Fighter V,15,Street Fighter V,297589500,2355000,212889,212,7200,6675,52,126.36,Street Fighter V
StarCraft II,16,StarCraft II,268214880,2812980,42691,121,4710,6016,63,95.35,StarCraft II
World of Tanks,17,World of Tanks,265607880,6442260,25049,295,12233,5958,144,41.23,World of Tanks
Arma 3,18,Arma 3,265369740,5606520,55686,285,9611,5952,125,47.33,Arma 3
Grand Theft Auto V,19,Grand Theft Auto V,262285200,26665980,47054,1557,105674,5883,598,9.84,Grand Theft Auto V
Creative,20,Creative,212168760,9017220,58597,332,19644,4759,202,23.53,Creative
Rust,21,Rust,188393280,3570840,57838,255,7159,4225,80,52.76,Rust
Heroes of the Storm,22,Heroes of the Storm,164680860,4028280,21192,162,7570,3694,90,40.88,Heroes of the Storm
Tom Clancy's The Division,23,Tom Clancy's The Division,164412120,9496560,33143,456,23449,3688,213,17.31,Tom Clancy's The Division
Z1 Battle Royale,24,Z1 Battle Royale,163784880,5536140,26963,213,10365,3673,124,29.58,Z1 Battle Royale
FIFA 16,25,FIFA 16,151436520,8153520,27284,406,34429,3396,182,18.57,FIFA 16
Evolve,26,Evolve,136883160,3485820,44136,278,12939,3070,78,39.27,Evolve
7 Days to Die,27,7 Days to Die,123786960,11415960,36862,588,27860,2776,256,10.84,7 Days to Die
Poker,28,Poker,115688220,1836480,11764,114,2068,2595,41,62.99,Poker
Smite,29,Smite,113215080,7462200,22947,294,20195,2539,167,15.17,Smite
Tom Clancy's Rainbow Six: Siege,30,Tom Clancy's Rainbow Six: Siege,109413420,13078560,58894,754,45089,2454,293,8.37,Tom Clancy's Rainbow Six: Siege
DayZ,31,DayZ,108504960,3801180,11892,195,6811,2433,85,28.55,DayZ
Rocket League,32,Rocket League,107452740,6616740,14156,262,34945,2410,148,16.24,Rocket League
