"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"League of Legends","1","League of Legends","4880910300","62234520","346059","2131","102620","113141","1442","78.43","League of Legends"
"Dota 2","2","Dota 2","3381832380","16378320","483285","675","27730","78392","379","206.48","Dota 2"
"Counter-Strike: Global Offensive","3","Counter-Strike: Global Offensive","2168224260","34607160","226858","1615","86923","50260","802","62.65","Counter-Strike: Global Offensive"
"Hearthstone","4","Hearthstone","2127600840","11101860","139821","452","26446","49318","257","191.64","Hearthstone"
"Overwatch","5","Overwatch","1802497500","68511540","105075","3428","152548","41782","1588","26.31","Overwatch"
"E3 2016","6","E3 2016","813889920","969060","891816","980","2537","18866","22","839.88","E3 2016"
"Dead by Daylight","7","Dead by Daylight","808179600","7091880","79013","548","15205","18733","164","113.96","Dead by Daylight"
"Call of Duty: Black Ops III","8","Call of Duty: Black Ops III","688230060","52249860","110659","2445","152477","15953","1211","13.17","Call of Duty: Black Ops III"
"World of Warcraft","9","World of Warcraft","461003100","17137740","43534","928","29549","10686","397","26.9","World of Warcraft"
"Minecraft","10","Minecraft","440027760","26456760","54277","1208","83314","10199","613","16.63","Minecraft"
"RuneScape","11","RuneScape","356442060","4659120","85177","189","7937","8262","108","76.5","RuneScape"
"Talk Shows & Podcasts","12","Talk Shows & Podcasts","331655100","2996700","74333","231","11401","7687","69","110.67","Talk Shows & Podcasts"
"Destiny","13","Destiny","312838980","29602260","234438","1494","56812","7251","686","10.57","Destiny"
"World of Tanks","14","World of Tanks","271252680","6688380","22897","352","12127","6287","155","40.56","World of Tanks"
"Grand Theft Auto V","15","Grand Theft Auto V","261581040","25741920","54948","1440","89270","6063","596","10.16","Grand Theft Auto V"
"NBA 2K16","16","NBA 2K16","251174940","16697820","32794","736","53852","5822","387","15.04","NBA 2K16"
"StarCraft II","17","StarCraft II","223033560","2759760","32651","109","4378","5169","63","80.82","StarCraft II"
"Arma 3","18","Arma 3","222400140","5265060","41091","291","9124","5155","122","42.24","Arma 3"
"Heroes of the Storm","19","Heroes of the Storm","213521640","4316040","54295","211","8209","4949","100","49.47","Heroes of the Storm"
"Creative","20","Creative","208807080","8883180","18044","347","18661","4840","205","23.51","Creative"
"FIFA 16","21","FIFA 16","207616200","8471820","36970","498","33390","4812","196","24.51","FIFA 16"
"Tom Clancy's The Division","22","Tom Clancy's The Division","198624540","12399000","16367","562","27527","4604","287","16.02","Tom Clancy's The Division"
"DayZ","23","DayZ","187406580","4574640","38426","280","8228","4344","106","40.97","DayZ"
"Shattered Skies","24","Shattered Skies","181338480","1412580","55122","110","2113","4203","32","128.37","Shattered Skies"
"Z1 Battle Royale","25","Z1 Battle Royale","147893880","5754300","20915","233","10077","3428","133","25.7","Z1 Battle Royale"
"Street Fighter V","26","Street Fighter V","143342100","1429320","81565","69","4263","3322","33","100.29","Street Fighter V"
"Path of Exile","27","Path of Exile","142937280","4049700","14677","513","4645","3313","93","35.3","Path of Exile"
"Smite","28","Smite","142718220","8103360","27719","323","20945","3308","187","17.61","Smite"
"The Witcher 3: Wild Hunt","29","The Witcher 3: Wild Hunt","136050420","7214880","35727","512","17030","3153","167","18.86","The Witcher 3: Wild Hunt"
"Dark Souls III","30","Dark Souls III","131932620","8992740","30559","413","25117","3058","208","14.67","Dark Souls III"
"Poker","31","Poker","105550860","1796280","15280","108","2032","2446","41","58.76","Poker"
"Rocket League","32","Rocket League","93299100","7314360","16903","464","38544","2162","169","12.76","Rocket League"
"Magic: The Gathering","33","Magic: The Gathering","92250540","803700","13116","45","979","2138","18","114.78","Magic: The Gathering"
"ARK","34","ARK","91162560","4667580","7525","201","6313","2113","108","19.53","ARK"
"Rust","35","Rust","87153480","2737380","31434","166","5670","2020","63","31.84","Rust"
"Tom Clancy's Rainbow Six: Siege","36","Tom Clancy's Rainbow Six: Siege","86257140","11241360","10934","525","34609","1999","260","7.67","Tom Clancy's Rainbow Six: Siege"
"Super Smash Bros. for Wii U","37","Super Smash Bros. for Wii U","81973440","986280","57688","63","2035","1900","22","83.11","Super Smash Bros. for Wii U"
"Clash Royale","38","Clash Royale","73630380","1402080","6294","68","3773","1706","32","52.52","Clash Royale"
"Super Mario Maker","39","Super Mario Maker","71889060","973140","10469","53","1275","1666","22","73.87","Super Mario Maker"
"Pokémon Omega Ruby/Alpha Sapphire","40","Pokémon Omega Ruby/Alpha Sapphire","67879620","1575600","6741","74","1752","1573","36","43.08","Pokémon Omega Ruby/Alpha Sapphire"
"Music & Performing Arts","41","Music & Performing Arts","67251900","1544100","7573","73","4107","1558","35","43.55","Music & Performing Arts"
"Super Smash Bros. Melee","42","Super Smash Bros. Melee","62132100","614220","37693","42","1786","1440","14","101.16","Super Smash Bros. Melee"
"Hearts of Iron IV","43","Hearts of Iron IV","57798900","841980","13793","126","1289","1339","19","68.65","Hearts of Iron IV"
"Halo 5: Guardians","44","Halo 5: Guardians","57557700","3893640","11072","260","10995","1334","90","14.78","Halo 5: Guardians"
"Uncharted 4: A Thief's End","45","Uncharted 4: A Thief's End","56084760","4327620","17791","258","13962","1300","100","12.96","Uncharted 4: A Thief's End"
"Total War: WARHAMMER","46","Total War: WARHAMMER","54523500","1530900","12004","131","2966","1263","35","35.62","Total War: WARHAMMER"
"Battlefield 4","47","Battlefield 4","53436300","8053560","81861","378","33066","1238","186","6.64","Battlefield 4"
"Warcraft III","48","Warcraft III","52751220","1019340","16571","47","1272","1222","23","51.75","Warcraft III"
"Fallout 4","49","Fallout 4","50480880","9556020","6759","514","31168","1170","221","5.28","Fallout 4"
"Diablo III: Reaper of Souls","50","Diablo III: Reaper of Souls","45534660","3052560","3724","151","7536","1055","70","14.92","Diablo III: Reaper of Souls"
"Dungeons & Dragons","51","Dungeons & Dragons","42195420","524820","26583","53","925","978","12","80.4","Dungeons & Dragons"
"Lineage II","52","Lineage II","39077040","853380","26042","64","915","905","19","45.79","Lineage II"
"Terraria","53","Terraria","35842920","1755720","8234","92","5510","830","40","20.41","Terraria"
"Mortal Kombat X","54","Mortal Kombat X","33795960","1256880","26288","63","5863","783","29","26.89","Mortal Kombat X"
"osu!","55","osu!","32380680","3811020","14557","186","12806","750","88","8.5","osu!"
"ROBLOX","56","ROBLOX","31450380","2210460","12002","120","10481","729","51","14.23","ROBLOX"
"Retro","57","Retro","28741500","887580","6005","42","1052","666","20","32.38","Retro"
"Resident Evil","58","Resident Evil","28727400","364320","47928","76","2064","665","8","78.85","Resident Evil"
"The Binding of Isaac: Afterbirth","59","The Binding of Isaac: Afterbirth","28546020","828540","8577","43","2223","661","19","34.45","The Binding of Isaac: Afterbirth"
"The Culling","60","The Culling","28524540","674220","31159","42","1466","661","15","42.31","The Culling"
"Black Desert Online","61","Black Desert Online","27887520","1701120","4735","71","2521","646","39","16.39","Black Desert Online"
"Blade and Soul","62","Blade and Soul","27862200","2054460","3928","104","2802","645","47","13.56","Blade and Soul"
"Golf With Your Friends","63","Golf With Your Friends","27348360","446400","35685","45","2989","633","10","61.26","Golf With Your Friends"
"Subnautica","64","Subnautica","26042700","777060","11434","57","2702","603","18","33.51","Subnautica"
"Mirror's Edge Catalyst","65","Mirror's Edge Catalyst","25471440","553800","25620","105","4442","590","12","45.99","Mirror's Edge Catalyst"
"Madden NFL 16","66","Madden NFL 16","25048620","5383500","4546","334","14942","580","124","4.65","Madden NFL 16"
"The Elder Scrolls Online","67","The Elder Scrolls Online","24884700","3067320","2713","130","8638","576","71","8.11","The Elder Scrolls Online"
"Sid Meier's Civilization V","68","Sid Meier's Civilization V","24487260","685200","5506","49","1972","567","15","35.74","Sid Meier's Civilization V"
"Summoners War: Sky Arena","69","Summoners War: Sky Arena","23555580","709440","2837","47","796","546","16","33.2","Summoners War: Sky Arena"
"Diablo II: Lord of Destruction","70","Diablo II: Lord of Destruction","23280900","460140","2858","24","601","539","10","50.6","Diablo II: Lord of Destruction"
"World of Warships","71","World of Warships","22695600","1438440","2692","75","2608","526","33","15.78","World of Warships"
"Final Fantasy XIV: Heavensward","72","Final Fantasy XIV: Heavensward","22162800","2483100","2467","200","6306","513","57","8.93","Final Fantasy XIV: Heavensward"
"The Legend of Zelda: Majora's Mask","73","The Legend of Zelda: Majora's Mask","21987660","256080","4850","18","394","509","5","85.86","The Legend of Zelda: Majora's Mask"
"Paragon","74","Paragon","21914100","2742240","3865","129","4915","507","63","7.99","Paragon"
"Guilty Gear Xrd -Revelator-","75","Guilty Gear Xrd -Revelator-","21809520","572280","16097","48","1578","505","13","38.11","Guilty Gear Xrd -Revelator-"
"Dark Souls","76","Dark Souls","21674280","1441920","4588","94","3516","502","33","15.03","Dark Souls"
"Tibia","77","Tibia","21578820","814680","2331","39","996","500","18","26.49","Tibia"
"Doom","78","Doom","21569280","3336120","11929","219","15285","499","77","6.47","Doom"
"Vainglory","79","Vainglory","21357000","448800","8476","25","611","495","10","47.59","Vainglory"
"Games + Demos","80","Games + Demos","21309060","193080","14684","21","800","493","4","110.36","Games + Demos"
"Team Fortress 2","81","Team Fortress 2","21087360","1298460","3143","66","4398","488","30","16.24","Team Fortress 2"
"The Sims 4","82","The Sims 4","20941620","673620","19325","46","1942","485","15","31.09","The Sims 4"
"7 Days to Die","83","7 Days to Die","20187000","2115360","5047","950","7022","467","49","9.54","7 Days to Die"
"Garry's Mod","84","Garry's Mod","20097120","1605360","11534","99","6093","465","37","12.52","Garry's Mod"
"The Elder Scrolls V: Skyrim","85","The Elder Scrolls V: Skyrim","20041980","1828140","5215","80","4577","464","42","10.96","The Elder Scrolls V: Skyrim"
"Mario Kart 8","86","Mario Kart 8","19967040","269340","41765","25","966","462","6","74.13","Mario Kart 8"
"Super Mario 64","87","Super Mario 64","19376700","515160","14336","46","1082","449","11","37.61","Super Mario 64"
"The Legend of Zelda: Ocarina of Time","88","The Legend of Zelda: Ocarina of Time","19193880","575160","11857","40","930","444","13","33.37","The Legend of Zelda: Ocarina of Time"
"M.U.G.E.N","89","M.U.G.E.N","18946560","47580","937","4","39","439","1","398.2","M.U.G.E.N"
"Warframe","90","Warframe","18452700","4077240","10718","198","11013","427","94","4.53","Warframe"
