"","","Game","Watch time","Stream time","Peak viewers","Peak channels","Streamers","Average viewers","Average channels","Average viewer ratio",""
"Fortnite","1","Fortnite","6026585400","452198040","465998","21968","884315","139698","10482","13.33","Fortnite"
"League of Legends","2","League of Legends","5545683120","118735440","548157","4008","172848","128550","2752","46.71","League of Legends"
"Grand Theft Auto V","3","Grand Theft Auto V","4983359280","43655460","256096","1868","79087","115515","1011","114.15","Grand Theft Auto V"
"Just Chatting","4","Just Chatting","3518271000","51773400","219754","1848","135011","81554","1200","67.96","Just Chatting"
"Hearthstone","5","Hearthstone","2062882260","11735940","278075","1572","25124","47818","272","175.77","Hearthstone"
"Counter-Strike: Global Offensive","6","Counter-Strike: Global Offensive","1851202020","50733300","313013","2295","127669","42911","1176","36.49","Counter-Strike: Global Offensive"
"Dota 2","7","Dota 2","1769926500","27029040","146659","1330","36752","41027","626","65.48","Dota 2"
"Overwatch","8","Overwatch","1716087780","47281380","185196","2534","102724","39779","1095","36.3","Overwatch"
"Apex Legends","9","Apex Legends","1505941680","120598020","199116","5000","259932","34908","2795","12.49","Apex Legends"
"PLAYERUNKNOWN'S BATTLEGROUNDS","10","PLAYERUNKNOWN'S BATTLEGROUNDS","1241251020","50817720","134191","1937","73993","28772","1177","24.43","PLAYERUNKNOWN'S BATTLEGROUNDS"
"World of Warcraft","11","World of Warcraft","1038289740","37913460","99545","2475","44269","24067","878","27.39","World of Warcraft"
"Sekiro: Shadows Die Twice","12","Sekiro: Shadows Die Twice","764560080","21809040","91302","1456","63530","17722","505","35.06","Sekiro: Shadows Die Twice"
"Auto Chess","13","Auto Chess","621285120","8535660","51914","348","12964","14401","197","72.79","Auto Chess"
"FIFA 19","14","FIFA 19","606759840","14829840","109147","944","42988","14064","343","40.91","FIFA 19"
"Tom Clancy's Rainbow Six: Siege","15","Tom Clancy's Rainbow Six: Siege","496318800","43768980","48981","1791","122071","11504","1014","11.34","Tom Clancy's Rainbow Six: Siege"
"Dead by Daylight","16","Dead by Daylight","493078380","24175920","42579","914","42838","11429","560","20.4","Dead by Daylight"
"Call of Duty: Black Ops 4","17","Call of Duty: Black Ops 4","461295720","51044940","72152","4238","104618","10692","1183","9.04","Call of Duty: Black Ops 4"
"Magic: The Gathering","18","Magic: The Gathering","414989700","6141360","49051","431","11202","9619","142","67.57","Magic: The Gathering"
"Mortal Kombat 11","19","Mortal Kombat 11","409943760","7857780","202719","2195","30095","9502","182","52.17","Mortal Kombat 11"
"Escape From Tarkov","20","Escape From Tarkov","397110480","13202220","44420","921","14174","9205","306","30.08","Escape From Tarkov"
