,,Game,Watch time,Stream time,Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio,
PLAYERUNKNOWN'S BATTLEGROUNDS,1,PLAYERUNKNOWN'S BATTLEGROUNDS,4428558540,118205220,450958,4067,176534,99339,2651,37.46,PLAYERUNKNOWN'S BATTLEGROUNDS
League of Legends,2,League of Legends,4323282600,75639060,343402,2668,121195,96978,1696,57.16,League of Legends
Dota 2,3,Dota 2,3520287180,18207240,845577,704,28695,78965,408,193.35,Dota 2
Hearthstone,4,Hearthstone,2592999240,13429320,212440,785,30196,58165,301,193.08,Hearthstone
Counter-Strike: Global Offensive,5,Counter-Strike: Global Offensive,1209828180,38572800,209561,1588,105110,27138,865,31.36,Counter-Strike: Global Offensive
IRL,6,IRL,1052499720,15078120,184959,672,48281,23609,338,69.8,IRL
Overwatch,7,Overwatch,1046582760,51374820,116664,2629,131260,23476,1152,20.37,Overwatch
Grand Theft Auto V,8,Grand Theft Auto V,642593700,20437440,62151,906,60106,14414,458,31.44,Grand Theft Auto V
Path of Exile,9,Path of Exile,599639160,14615520,85576,1522,19258,13450,327,41.03,Path of Exile
World of Warcraft,10,World of Warcraft,560135700,27094920,51350,1565,38208,12564,607,20.67,World of Warcraft
Heroes of the Storm,11,Heroes of the Storm,309534660,7484820,38237,276,13678,6943,167,41.35,Heroes of the Storm
Minecraft,12,Minecraft,293424960,18173100,45352,724,52257,6581,407,16.15,Minecraft
Tom Clancy's Rainbow Six: Siege,13,Tom Clancy's Rainbow Six: Siege,272419560,26660880,35180,1126,78690,6110,598,10.22,Tom Clancy's Rainbow Six: Siege
RuneScape,14,RuneScape,269958900,5317920,36338,196,8790,6055,119,50.76,RuneScape
Talk Shows & Podcasts,15,Talk Shows & Podcasts,259654800,3065040,74589,205,10681,5824,68,84.71,Talk Shows & Podcasts
Z1 Battle Royale,16,Z1 Battle Royale,216968580,14020140,39574,600,25047,4866,314,15.48,Z1 Battle Royale
Creative,17,Creative,209523840,13915320,13636,493,27289,4699,312,15.06,Creative
StarCraft II,18,StarCraft II,197202780,3153180,26403,115,5421,4423,70,62.54,StarCraft II
Dead by Daylight,19,Dead by Daylight,196898160,10016880,18843,497,16155,4416,224,19.66,Dead by Daylight
Rocket League,20,Rocket League,187789920,9207900,67219,417,38664,4212,206,20.39,Rocket League
StarCraft,21,StarCraft,180855600,2198220,45361,268,4640,4056,49,82.27,StarCraft
World of Tanks,22,World of Tanks,179309160,6353520,16174,294,9767,4022,142,28.22,World of Tanks
Poker,23,Poker,167722800,2098920,25420,129,2267,3762,47,79.91,Poker
The Elder Scrolls: Legends,24,The Elder Scrolls: Legends,164117340,1605720,11749,60,1540,3681,36,102.21,The Elder Scrolls: Legends
Destiny 2,25,Destiny 2,155934300,4801500,225199,3637,26871,3497,107,32.48,Destiny 2
